playerID,WinPercent,H_Batting,HR_Batting,RBI_Batting,R_Batting,Doubles_Batting,Triples_Batting,BB_Batting,AB_Batting,PO_Fielding,A_Fielding,E_Fielding,DP_Fielding,SB_Fielding,CS_Fielding,ERA_Pitching,H_Pitching,SV_Pitching,BAOpp_Pitching,H_Battingp,HR_Battingp,RBI_Battingp,R_Battingp,Doubles_Battingp,Triples_Battingp,BB_Battingp,AB_Battingp,PO_Fieldingp,A_Fieldingp,E_Fieldingp,DP_Fieldingp,SB_Fieldingp,CS_Fieldingp,ERA_Pitchingp,H_Pitchingp,SV_Pitchingp,BAOpp_Pitchingp,GP_AllStar,careerAwards,WSWins,class
millafe01,0.4904,1617,22,403,699,229,38,318,5791,3498,3846,151,856,0,0,0,0,0,0,16,0,3,10,2,1,6,63,3498,3846,151,856,0,0,0,0,0,0,2,2,0,0
milnejo01,0.5107,855,131,498,455,140,16,504,3436,4811,313,57,382,0,0,0,0,0,0,15,0,5,6,1,0,14,65,4811,313,57,382,0,0,0,0,0,0,0,0,1,0
mondari01,0.5171,1619,241,775,950,248,64,924,6136,3978,118,81,45,0,0,0,0,0,0,17,1,2,9,3,1,13,81,3978,118,81,45,0,0,0,0,0,0,2,0,1,0
morgajo02,0.5205,2517,268,1133,1650,449,96,1865,9277,5758,6969,245,1505,0,0,0,0,0,0,33,5,13,26,9,3,37,181,5758,6969,245,1505,0,0,0,0,0,0,9,8,2,1
motama01,0.5378,1149,31,438,496,125,52,289,3779,1481,83,35,16,0,0,0,0,0,0,3,0,1,1,2,0,1,8,1481,83,35,16,0,0,0,0,0,0,1,0,0,0
nettlgr01,0.5275,2225,390,1314,1193,328,28,1088,8986,2098,5295,298,480,0,0,0,0,0,0,41,5,27,17,5,1,19,182,2098,5295,298,480,0,0,0,0,0,0,6,2,2,0
molitpa01,0.5070,3319,234,1307,1782,605,114,1094,10835,3506,3241,208,664,0,0,0,0,0,0,43,6,22,28,5,3,12,117,3506,3241,208,664,0,0,0,0,0,0,6,4,1,1
moneydo01,0.4771,1623,176,729,798,302,36,600,6215,2697,3242,150,554,0,0,0,0,0,0,5,0,2,6,1,0,5,27,2697,3242,150,554,0,0,0,0,0,0,2,0,0,0
moraljo01,0.4980,375,26,207,126,68,6,89,1305,498,57,10,37,25,4,0,0,0,0,0,0,0,0,0,0,0,2,498,57,10,37,25,4,0,0,0,0,0,0,1,0
munsoth01,0.5498,1558,113,701,696,229,32,438,5344,6342,742,130,85,533,427,0,0,0,0,46,3,22,19,9,0,5,129,6342,742,130,85,533,427,0,0,0,0,6,4,2,1
