playerID,WinPercent,H_Batting,HR_Batting,RBI_Batting,R_Batting,Doubles_Batting,Triples_Batting,BB_Batting,AB_Batting,PO_Fielding,A_Fielding,E_Fielding,DP_Fielding,SB_Fielding,CS_Fielding,ERA_Pitching,H_Pitching,SV_Pitching,BAOpp_Pitching,H_Battingp,HR_Battingp,RBI_Battingp,R_Battingp,Doubles_Battingp,Triples_Battingp,BB_Battingp,AB_Battingp,PO_Fieldingp,A_Fieldingp,E_Fieldingp,DP_Fieldingp,SB_Fieldingp,CS_Fieldingp,ERA_Pitchingp,H_Pitchingp,SV_Pitchingp,BAOpp_Pitchingp,GP_AllStar,careerAwards,WSWins,class
leitndo01,0.2937,4,0,0,3,0,0,0,27,0,5,3,0,0,0,5.68,69,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,5.68,69,0,0,0,0,0,0
lewis01,0.2727,1,0,0,1,0,0,0,5,2,3,0,0,0,0,60,13,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,60,13,0,0,0,0,0,0
loospe01,0.5441,0,0,0,0,0,0,0,0,0,1,0,0,0,0,27,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,27,2,0,0,0,0,0,0
lucidco01,0.4621,36,0,17,29,4,4,14,151,16,60,12,3,0,0,45.05,482,0,0,0,0,0,0,0,0,0,0,16,60,12,3,0,0,45.05,482,0,0,0,0,0,0
lynchja01,0.4487,137,0,28,75,20,5,51,792,106,308,74,4,0,0,35.01,2048,0,0,0,0,0,0,0,0,0,0,106,308,74,4,0,0,35.01,2048,0,0,0,0,0,0
mahaflo01,0.4636,0,0,0,0,0,0,1,4,0,1,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,10,0,0,0,0,0,0
malonma01,0.1034,6,0,3,2,0,0,1,16,3,2,8,0,0,0,10.5,51,0,0,0,0,0,0,0,0,0,0,3,2,8,0,0,0,10.5,51,0,0,0,0,0,0
manseto01,0.5072,199,0,74,132,23,11,39,767,232,22,85,2,0,0,16.2,21,0,0,0,0,0,0,0,0,0,0,232,22,85,2,0,0,16.2,21,0,0,0,0,0,0
maysal01,0.4760,86,3,46,50,21,7,33,537,63,284,50,10,0,0,26.5,1341,0,0,0,0,0,0,0,0,0,0,63,284,50,10,0,0,26.5,1341,0,0,0,0,0,0
mccaual01,0.4048,170,2,78,106,30,16,99,677,1634,71,52,99,0,0,5.09,87,0,0,0,0,0,0,0,0,0,0,1634,71,52,99,0,0,5.09,87,0,0,0,0,0,0
